Area,Sale Price,#Beds,#FBaths,SqFt LA,Pool YN,Waterfront Property (Y/N)
60,652000,0.3333333333333330,0.26666666666666700,0.11940577408203300,0,0
60,642000,0.3333333333333330,0.2,0.11940577408203300,0,0
60,668000,0.3333333333333330,0.2,0.11940577408203300,0,0
4180,1650000,0.3333333333333330,0.26666666666666700,0.11954592170419500,1,0
4180,1675000,0.3333333333333330,0.2,0.11954592170419500,1,0
4180,1650000,0.3333333333333330,0.26666666666666700,0.11954592170419500,1,0
60,640000,0.3333333333333330,0.2,0.12034009156311300,0,0
3600,2350000,0.3333333333333330,0.2,0.12090068205176100,1,0
3370,2595000,0.25,0.2,0.12155470428851700,1,1
4110,2234625,0.3333333333333330,0.2,0.12183499953284100,1,0
5600,1600000,0.3333333333333330,0.2,0.1224890217695970,1,0
4460,1900000,0.3333333333333330,0.2,0.12276931701392100,1,0
32,3000000,0.4166666666666670,0.26666666666666700,0.1248715313463520,1,0
5240,2150000,0.3333333333333330,0.2,0.12575913295337800,1,0
5100,13250000,0.4166666666666670,0.3333333333333330,0.12944968700364400,1,1
4360,2695000,0.3333333333333330,0.26666666666666700,0.12977669812202200,1,0
4350,1200000,0.25,0.2,0.13080444735121000,1,0
4350,1275000,0.25,0.2,0.13080444735121000,1,0
3240,2800000,0.3333333333333330,0.26666666666666700,0.13080444735121000,1,1
4350,2175000,0.3333333333333330,0.2,0.13122489021769600,1,1
4460,3155500,0.25,0.2,0.13337382042418000,1,0
60,640000,0.3333333333333330,0.13333333333333300,0.1340745585349900,0,1
60,755000,0.3333333333333330,0.13333333333333300,0.1340745585349900,1,1
32,2875000,0.3333333333333330,0.26666666666666700,0.1354293188825560,1,0
32,4050000,0.3333333333333330,0.2,0.13575633000093400,1,0
60,680000,0.3333333333333330,0.13333333333333300,0.1358497617490420,0,0
3212,3400000,0.25,0.2,0.13743810146687800,1,1
4220,2600000,0.3333333333333330,0.26666666666666700,0.13748481734093200,1,1
3260,3500000,0.3333333333333330,0.26666666666666700,0.14014762216201100,1,1
22,3009141,0.3333333333333330,0.3333333333333330,0.14019433803606500,1,0
4460,3000000,0.3333333333333330,0.2,0.1407082126506590,1,0
4360,2725000,0.3333333333333330,0.2,0.1408016443987670,1,0
3341,2325000,0.3333333333333330,0.13333333333333300,0.1423899841166030,1,1
5440,3200000,0.3333333333333330,0.3333333333333330,0.14664112865551700,1,0
4460,3181009,0.4166666666666670,0.26666666666666700,0.1471082873960570,1,0
3280,1900000,0.3333333333333330,0.26666666666666700,0.14729515089227300,1,0
4220,2500000,0.4166666666666670,0.26666666666666700,0.1487433429879470,1,0
4260,2500000,0.4166666666666670,0.3333333333333330,0.14949079697281100,1,0
4370,2947500,0.3333333333333330,0.3333333333333330,0.15037839857983700,1,0
4180,1679000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1690000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1690000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1695000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,2080000,0.3333333333333330,0.26666666666666700,0.15098570494253900,1,0
4180,1950000,0.4166666666666670,0.26666666666666700,0.15098570494253900,1,0
4220,2800000,0.3333333333333330,0.2,0.15173315892740400,1,1
5410,1199000,0.3333333333333330,0.26666666666666700,0.1522937494160520,1,1
4460,3300000,0.3333333333333330,0.26666666666666700,0.15243389703821400,1,0
4360,2100000,0.3333333333333330,0.2,0.15346164626740200,1,0
3222,3150000,0.3333333333333330,0.26666666666666700,0.1536017938895640,1,1
3260,3829304,0.3333333333333330,0.3333333333333330,0.15416238437821200,1,1
5440,3590000,0.3333333333333330,0.26666666666666700,0.15416238437821200,1,0
5440,5750000,0.3333333333333330,0.26666666666666700,0.15425581612632000,1,0
3170,7332000,0.3333333333333330,0.2,0.15430253200037400,1,1
4360,3800000,0.3333333333333330,0.2,0.15467625899280600,1,0
32,9250000,0.4166666666666670,0.4,0.1553769971036160,1,1
4180,2200000,0.3333333333333330,0.26666666666666700,0.15584415584415600,1,0
4180,2200000,0.3333333333333330,0.26666666666666700,0.15584415584415600,1,0
32,5000000,0.3333333333333330,0.2,0.1566383257030740,1,0
,4965000,0.25,0.2,0.15682518919929000,1,0
4360,2650000,0.3333333333333330,0.2,0.15682518919929000,1,0
4220,2650000,0.4166666666666670,0.26666666666666700,0.15743249556199200,1,0
4360,2600000,0.4166666666666670,0.3333333333333330,0.15817994954685600,1,0
4370,2445000,0.4166666666666670,0.26666666666666700,0.1591142670279360,1,0
3380,2200000,0.3333333333333330,0.26666666666666700,0.15995515276090800,1,0
32,5400000,0.3333333333333330,0.26666666666666700,0.16074932261982600,1,0
5440,6500000,0.3333333333333330,0.26666666666666700,0.16079603849388000,1,0
3280,2900000,0.4166666666666670,0.3333333333333330,0.16121648136036600,1,0
3280,5495000,0.3333333333333330,0.26666666666666700,0.16350555918901200,1,1
5001,10500000,0.3333333333333330,0.26666666666666700,0.16406614967766000,1,0
4360,2550000,0.3333333333333330,0.3333333333333330,0.1643464449219850,1,0
4360,2730000,0.3333333333333330,0.3333333333333330,0.1643464449219850,1,0
5002,12400000,0.3333333333333330,0.26666666666666700,0.16462674016630900,1,0
